date,open,high,low,close,volume
2015-07-03,1.108425,1.111785,1.106515,1.111225,-1.0
2015-07-06,1.099605,1.10959,1.096975,1.1056,-1.0
2015-07-07,1.105575,1.105915,1.091645,1.10108,-1.0
2015-07-08,1.1005,1.109295,1.097435,1.10761,-1.0
2015-07-09,1.10755,1.112515,1.09918,1.10365,-1.0
2015-07-10,1.1034,1.12162,1.10308,1.11555,-1.0
2015-07-13,1.11115,1.11969,1.09958,1.10021,-1.0
2015-07-14,1.100375,1.108465,1.096495,1.100905,-1.0
2015-07-15,1.100975,1.10356,1.092995,1.09488,-1.0
2015-07-16,1.09484,1.09628,1.085565,1.087385,-1.0
2015-07-17,1.088,1.090695,1.082865,1.082975,-1.0
2015-07-20,1.083525,1.08703,1.08087,1.08254,-1.0
2015-07-21,1.082425,1.096955,1.081165,1.09345,-1.0
2015-07-22,1.093775,1.09669,1.08694,1.092895,-1.0
2015-07-23,1.092805,1.10181,1.092185,1.098395,-1.0
2015-07-24,1.0989,1.099595,1.092545,1.098115,-1.0
2015-07-27,1.0979,1.112995,1.09692,1.10878,-1.0
2015-07-28,1.10925,1.10996,1.102225,1.10599,-1.0
2015-07-29,1.106075,1.10841,1.09671,1.09835,-1.0
2015-07-30,1.09835,1.098955,1.089345,1.093225,-1.0
2015-07-31,1.0933,1.111435,1.09212,1.09843,-1.0
2015-08-03,1.097375,1.099625,1.094135,1.09499,-1.0
2015-08-04,1.09519,1.098775,1.087925,1.08813,-1.0
2015-08-05,1.08864,1.093765,1.084815,1.09058,-1.0
2015-08-06,1.090375,1.09439,1.087355,1.09245,-1.0
2015-08-07,1.0922,1.097845,1.085535,1.096625,-1.0
2015-08-10,1.096475,1.10415,1.092545,1.101905,-1.0
2015-08-11,1.102075,1.10884,1.096045,1.1042,-1.0
2015-08-12,1.10425,1.12143,1.10244,1.115885,-1.0
2015-08-13,1.115975,1.118885,1.10801,1.11492,-1.0
2015-08-14,1.11523,1.11889,1.109795,1.11088,-1.0
2015-08-17,1.11155,1.112495,1.105865,1.10781,-1.0
2015-08-18,1.1077,1.109385,1.101685,1.10225,-1.0
2015-08-19,1.102875,1.113435,1.10178,1.112055,-1.0
2015-08-20,1.111975,1.124475,1.11072,1.124155,-1.0
2015-08-21,1.12385,1.13893,1.122945,1.13865,-1.0
2015-08-24,1.137625,1.171495,1.136965,1.161965,-1.0
2015-08-25,1.160775,1.160775,1.13964,1.151755,-1.0
2015-08-26,1.151925,1.15618,1.1292,1.13145,-1.0
2015-08-27,1.131675,1.136455,1.120305,1.124715,-1.0
2015-08-28,1.1244,1.13099,1.115585,1.118475,-1.0
2015-08-31,1.1174,1.126275,1.116985,1.121075,-1.0
2015-09-01,1.12095,1.133215,1.120845,1.131425,-1.0
2015-09-02,1.131775,1.131865,1.121665,1.12268,-1.0
2015-09-03,1.1226,1.124345,1.10874,1.112355,-1.0
2015-09-04,1.11235,1.119425,1.108965,1.11503,-1.0
2015-09-07,1.11615,1.11778,1.112155,1.117,-1.0
2015-09-08,1.11675,1.12294,1.115255,1.120275,-1.0
2015-09-09,1.120325,1.121635,1.11318,1.12072,-1.0
2015-09-10,1.120725,1.129555,1.11718,1.128025,-1.0
2015-09-11,1.127755,1.134965,1.12543,1.13365,-1.0
2015-09-14,1.133275,1.137325,1.128355,1.13167,-1.0
2015-09-15,1.131725,1.132885,1.125865,1.12688,-1.0
2015-09-16,1.12657,1.13208,1.121405,1.12912,-1.0
2015-09-17,1.129075,1.14413,1.12846,1.14351,-1.0
2015-09-18,1.143225,1.146035,1.126945,1.129875,-1.0
2015-09-21,1.1285,1.13302,1.11813,1.11897,-1.0
2015-09-22,1.118925,1.120805,1.11134,1.11201,-1.0
2015-09-23,1.1127,1.121365,1.110525,1.11854,-1.0
2015-09-24,1.1184,1.129595,1.116465,1.12298,-1.0
2015-09-25,1.12003,1.12133,1.11162,1.119895,-1.0
